date_time,source,channel,level,location,user,MID,system,SID,operation,x,y,z,BLW_g,wt_g,TWF,WS_ml,WE_ml,comment
6/25/2020 13:46,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,506798,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.87,24,0.85,0.24,0.76,NaN
6/25/2020 15:37,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,509940,NP-1-Stim,-999999,Action,NaN,NaN,NaN,29.23,23.9,0.85,0.95,0.74,NaN
6/25/2020 17:15,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,509652,NP-1-Stim,-999999,Action,NaN,NaN,NaN,24.23,21.9,0.85,0.23,0.77,NaN
6/26/2020 13:37,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,506798,NP-1-Stim,-999999,Action,NaN,NaN,NaN,27.87,24.3,0.85,0.08,0.92,NaN
6/26/2020 15:21,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,509940,NP-1-Stim,-999999,Action,NaN,NaN,NaN,29.23,23.6,0.85,1.25,0.67,NaN
6/26/2020 15:23,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,509652,w10dtsm112721,-999999,Action,NaN,NaN,NaN,24.23,22,0.85,0.29,0.71,NaN
6/29/2020 14:55,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,512913,NP-1-Stim,-999999,Action,NaN,NaN,NaN,30.4,24.4,0.85,1.44,0.83,NaN
6/29/2020 15:21,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,21.8,0.85,1.89,0.55,NaN
6/29/2020 16:54,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,23.4,0.85,0.42,0.58,NaN
6/29/2020 17:08,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,509940,NP-1-Stim,-999999,Action,NaN,NaN,NaN,29.23,23,0.85,1.85,0.62,NaN
6/30/2020 11:56,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,512913,NP-1-Stim,-999999,Action,NaN,NaN,NaN,30.4,24.8,0.85,1.04,0.92,NaN
6/30/2020 18:41,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,509940,NP-1-Stim,-999999,Action,NaN,NaN,NaN,29.23,23.8,0.85,1.05,0.08,NaN
6/30/2020 18:54,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,509652,w10dtsm112721,-999999,Action,NaN,NaN,NaN,24.23,22.1,0.85,0.44,0.56,NaN
6/30/2020 18:59,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,509652,w10dtsm112721,-999999,Action,NaN,NaN,NaN,24.23,22.1,0.85,0.44,0.56,NaN
7/1/2020 10:55,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,512913,NP-1-Stim,-999999,Action,NaN,NaN,NaN,30.4,24.7,0.85,1.14,0.95,NaN
7/1/2020 13:02,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,23.2,0.85,0.49,0.6,NaN
7/1/2020 19:50,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),severined,509652,w10dtsm112721,-999999,Action,NaN,NaN,NaN,24.23,21.9,0.85,0.99,0.01,NaN
7/1/2020 20:10,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,509940,NP-1-Stim,-999999,Action,NaN,NaN,NaN,29.23,22.9,0.85,1.95,0.37,NaN
7/1/2020 20:11,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),taminar,509940,NP-1-Stim,-999999,Action,NaN,NaN,NaN,29.23,22.9,0.85,1.95,0.37,NaN
7/2/2020 11:58,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,512913,NP-1-Stim,-999999,Action,NaN,NaN,NaN,30.4,24.6,0.85,1.24,0.62,NaN
7/2/2020 13:53,NP.0-Mon / w10dtsm112722,mouse_director,INFO,finalize_clicked (rig_view.py:839),hannah,506798,w10dtsm112721,-999999,Action,NaN,NaN,NaN,27.87,23.5,0.85,0.45,0.55,NaN
7/3/2020 12:08,NP.1-Mon / w10dtsm18278,mouse_director,INFO,finalize_clicked (rig_view.py:839),greggh,512913,NP-1-Stim,-999999,Action,NaN,NaN,NaN,30.4,24.5,0.85,1.34,0.42,NaN
