T_session_IDs,G_session_IDS,,Combined,,probeA,probeB,probeC,probeD,probeE,probeF
1044389060_510589_20200819,1069193611_545994_20201209,18,1044389060_510589_20200819,1.00,1,1,1,1,1,1
1044385384_524761_20200819,1070961372_544835_20201216,17,1044385384_524761_20200819,1.00,0,0,0,0,0,0
1043752325_506940_20200817,1070969560_548465_20201216,16,1043752325_506940_20200817,1.00,0,0,0,0,0,0
1041083421_522944_20200805,1071300149_548465_20201217,#N/A,1041083421_522944_20200805,1.00,0,0,0,0,0,0
1039267612_513271_20200729,1071301976_544835_20201217,#N/A,1039267612_513271_20200729,1.00,0,0,0,0,0,0
1039257177_524921_20200729,1072341440_546507_20201222,15,1039257177_524921_20200729,1.00,1,1,1,1,1,1
1037927382_513573_20200722,1072345110_540536_20201222,14,1037927382_513573_20200722,2.00,0,0,1,0,1,1
1037927382_513573_20200722,1072567062_546507_20201223,#N/A,1037927382_513573_20200722,2.00,0,0,1,0,1,1
1037747248_505167_20200721,1072572100_540536_20201223,#N/A,1037747248_505167_20200721,2.00,0,0,1,0,1,1
1037747248_505167_20200721,1076265417_546503_20210113,13,1037747248_505167_20200721,2.00,0,0,1,0,1,1
1036476611_506798_20200715,1076487758_546503_20210114,#N/A,1036476611_506798_20200715,2.00,0,0,1,0,1,1
1036476611_506798_20200715,1077711823_545996_20210120,12,1036476611_506798_20200715,2.00,0,0,1,0,1,1
1033388795_509652_20200630,1077712208_548715_20210120,11,1033388795_509652_20200630,2.00,0,0,1,0,1,1
1033388795_509652_20200630,1077891954_548715_20210121,10,1033388795_509652_20200630,2.00,0,0,0,0,0,0
1033387557_509940_20200630,1077897245_545996_20210121,9,1033387557_509940_20200630,1.00,0,0,0,0,0,0
1031938107_485124_20200624,977598747_477120_20191106,8,1031938107_485124_20200624,2.00,0,0,1,0,1,1
1031938107_485124_20200624,981876216_487460_20191113,7,1031938107_485124_20200624,2.00,0,0,0,0,0,0
1030489628_498756_20200617,986114138_473248_20191118,6,1030489628_498756_20200617,1.00,0,0,0,0,0,0
1029247206_498803_20200610,987924404_487461_20191120,5,1029247206_498803_20200610,1.00,0,0,0,0,0,0
1028043324_498757_20200604,990296676_477810_20191125,4,1028043324_498757_20200604,1.00,0,0,0,0,0,0
1012367144_495662_20200304,990372920_488835_20191125,3,1012367144_495662_20200304,1.00,0,0,0,0,0,0
1010459763_489138_20200226,993265501_489139_20191209,2,1010459763_489138_20200226,1.00,0,0,0,0,0,0
1010441096_492651_20200226,,,1010441096_492651_20200226,1.00,0,0,0,0,0,0
1008639574_491252_20200219,,,1008639574_491252_20200219,1.00,0,0,0,0,0,0
1005249204_495800_20200205,,,1005249204_495800_20200205,1.00,0,0,0,0,0,0
1003659361_485051_20200129,,,1003659361_485051_20200129,1.00,0,0,0,0,0,0
1001820677_476815_20200122,,,1001820677_476815_20200122,1.00,0,0,0,0,0,0
,,,1071300149_548465_20201217,1.00,0,0,0,0,0,0
,,,1071301976_544835_20201217,1.00,0,0,0,0,0,0
,,,1072567062_546507_20201223,1.00,0,0,0,0,0,0
,,,1072572100_540536_20201223,1.00,0,0,0,0,0,0
,,,1076487758_546503_20210114,1.00,0,0,0,0,0,0
,,,,0.00,,,,,,
